"Job","Salary","Requirements(The dash(-) means or)"
"Compliance managers","$112,150","Bachelor's Degree: American Government and Politics (United States) - American History (United States) - Anthropology, Other - Anthropology - Applied Behavior Analysis - Applied Economics - Applied Psychology - Archeology - Archives/Archival Administration - Arts, Entertainment, and Media Management, Other - Arts, Entertainment,and Media Management, General - Asian History - Business Administration and Management, General - Business/Commerce, General - Canadian Government and Politics - Canadian History - Clinical Child Psychology - Clinical Psychology - Clinical Research Coordinator - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Counseling Psychology - Criminal Justice/Law Enforcement Administration - Criminology - Crisis/Emergency/Disaster Management - Critical Infrastructure Protection - Cultural Anthropology - Demography and Population Studies - Development Economics and International Development - Developmental and Child Psychology - Digital Communication and Media/Multimedia - Econometrics and Quantitative Economics - Economics, General - Economics, Other - Educational Psychology - Entrepreneurship/Entrepreneurial Studies - Environmental Psychology - European History - Experimental Psychology - Family Psychology - Fine and Studio Arts Management - Fire Services Administration - Forensic Psychology - Franchising and Franchise Operations - Geographic Information Science and Cartography - Geography, Other - Geography - Geropsychology - Golf Course Operation and Grounds Management - Health/Medical Psychology - History and Philosophy of Science and Technology - History, General - History, Other - Homeland Security - Hospitality Administration/Management, Other - Industrial and Organizational Psychology - Information Technology Project Management - International Economics - International Relations and Affairs - International Relations and National Security Studies, Other - Law Enforcement Record-Keeping and Evidence Management - Library and Information Science - Medical Anthropology - Military History - National Security Policy Studies - Natural Resource Recreation and Tourism - Non-Profit/Public/Organizational Management - Parks, Recreation and Leisure Facilities Management, Other - Personality Psychology - Physical and Biological Anthropology - Physiological Psychology/Psychobiology - Political Economy - Political Science and Government, General - Political Science and Government, Other - Project Management - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Public Administration - Public/Applied History - Research and Development Management - Research and Experimental Psychology, Other - Research Methodology and Quantitative Methods - Rural Sociology - School Psychology - Small Business Administration/Management - Social Psychology - Social Sciences, General - Social Sciences, Other - Sociology and Anthropology - Sociology - Telecommunications Management - Terrorism and Counterterrorism Operations - Theatre/Theatre Arts Management - Tourism and Travel Services Management - Urban Studies/Affairs -"
"Computer and information systems managers","$145,740","Bachelor's Degree: Computer and Information Sciences, General - Computer and Information Systems Security/Information Assurance - Computer Science - Information Resources Management - Information Science/Studies - Information Technology Project Management - Information Technology - Knowledge Management - Management Information Systems, General - Network and System Administration/Administrator - Operations Management and Supervision -"
"Construction managers","$99,510","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Construction Engineering Technology/Technician - Construction Management - Operations Management and Supervision -"
"Education administrators all other","$84,400","any: Administration of Special Education - Adult and Continuing Education Administration - Educational Administration and Supervision, Other - Educational Leadership and Administration, General - Educational, Instructional, and Curriculum Supervision - Higher Education/Higher Education Administration - Superintendency and Educational System Administration - Urban Education and Leadership -"
"Education administrators postsecondary","$105,770","Master's Degree: Community College Education - Educational Leadership and Administration, General - Educational, Instructional, and Curriculum Supervision - Higher Education/Higher Education Administration -"
"Emergency management directors","$78,060","Bachelor's Degree: Crisis/Emergency/Disaster Management - Critical Incident Response/Special Police Operations - Critical Infrastructure Protection - Homeland Security - Protective Services Operations - Terrorism and Counterterrorism Operations -"
"Farmers ranchers and other agricultural managers","$75,790","any: Agribusiness/Agricultural Business Operations - Agricultural Animal Breeding - Agricultural Business and Management, General - Agricultural Business and Management, Other - Agricultural Production Operations, General - Agricultural Production Operations, Other - Agroecology and Sustainable Agriculture - Agronomy and Crop Science - Animal Health - Animal Nutrition - Animal Sciences, General - Animal Sciences, Other - Animal/Livestock Husbandry and Production - Applied Horticulture/Horticulture Operations, General - Aquaculture - Crop Production - Dairy Husbandry and Production - Dairy Science - Farm/Farm and Ranch Management - Greenhouse Operations and Management - Horse Husbandry/Equine Science and Management - Horticultural Science - Livestock Management - Ornamental Horticulture - Plant Nursery Operations and Management - Plant Protection and Integrated Pest Management - Plant Sciences, General - Poultry Science - Range Science and Management - Viticulture and Enology -"
"Financial managers","$139,720","any: Accounting and Business/Management - Accounting and Finance - Credit Management - Finance and Financial Management Services, Other - Finance, General - International Finance - Public Finance -"
"Food service managers","$56,010","High School Diploma: Culinary Science/Culinology - Foodservice Systems Administration/Management - Hospitality Administration/Management, General - Hotel, Motel, and Restaurant Management - Hotel/Motel Administration/Management - Restaurant, Culinary, and Catering Management/Manager - Restaurant/Food Services Management - Wine Steward/Sommelier -"
"General and operations managers","$122,090","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Entrepreneurship/Entrepreneurial Studies - Finance, General - International Business/Trade/Commerce - Management Science - Parks, Recreation and Leisure Facilities Management, Other - Public Administration - Retail Management -"
"Geothermal production managers","$107,060","Some College: Business Administration and Management, General - Business/Commerce, General - Engineering/Industrial Management - Industrial Engineering - Logistics, Materials, and Supply Chain Management - Operations Management and Supervision -"
"Human resources managers","$120,210","Bachelor's Degree: Human Resources Management/Personnel Administration, General - Labor and Industrial Relations -"
"Hydroelectric production managers","$107,060","Post-Secondary Certificate: Business Administration and Management, General - Business/Commerce, General - Engineering/Industrial Management - Industrial Engineering - Logistics, Materials, and Supply Chain Management - Operations Management and Supervision -"
"Industrial production managers","$107,060","Bachelor's Degree: Business Administration and Management, General - Business/Commerce, General - Engineering/Industrial Management - Industrial Engineering - Logistics, Materials, and Supply Chain Management - Operations Management and Supervision -"
"Investment fund managers","$139,720","Master's Degree: Accounting and Business/Management - Accounting and Finance - Credit Management - Finance and Financial Management Services, Other - Finance, General - International Finance - Public Finance -"
"Legislators","$44,820","any: Public Administration - Public Policy Analysis, General -"
"Lodging managers","$59,410","Bachelor's Degree: Hospitality Administration/Management, General - Hospitality and Recreation Marketing Operations - Hotel, Motel, and Restaurant Management - Hotel/Motel Administration/Management - Resort Management - Restaurant/Food Services Management -"
"Loss prevention managers","$112,150","Bachelor's Degree: American Government and Politics (United States) - American History (United States) - Anthropology, Other - Anthropology - Applied Behavior Analysis - Applied Economics - Applied Psychology - Archeology - Archives/Archival Administration - Arts, Entertainment, and Media Management, Other - Arts, Entertainment,and Media Management, General - Asian History - Business Administration and Management, General - Business/Commerce, General - Canadian Government and Politics - Canadian History - Clinical Child Psychology - Clinical Psychology - Clinical Research Coordinator - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Counseling Psychology - Criminal Justice/Law Enforcement Administration - Criminology - Crisis/Emergency/Disaster Management - Critical Infrastructure Protection - Cultural Anthropology - Demography and Population Studies - Development Economics and International Development - Developmental and Child Psychology - Digital Communication and Media/Multimedia - Econometrics and Quantitative Economics - Economics, General - Economics, Other - Educational Psychology - Entrepreneurship/Entrepreneurial Studies - Environmental Psychology - European History - Experimental Psychology - Family Psychology - Fine and Studio Arts Management - Fire Services Administration - Forensic Psychology - Franchising and Franchise Operations - Geographic Information Science and Cartography - Geography, Other - Geography - Geropsychology - Golf Course Operation and Grounds Management - Health/Medical Psychology - History and Philosophy of Science and Technology - History, General - History, Other - Homeland Security - Hospitality Administration/Management, Other - Industrial and Organizational Psychology - Information Technology Project Management - International Economics - International Relations and Affairs - International Relations and National Security Studies, Other - Law Enforcement Record-Keeping and Evidence Management - Library and Information Science - Medical Anthropology - Military History - National Security Policy Studies - Natural Resource Recreation and Tourism - Non-Profit/Public/Organizational Management - Parks, Recreation and Leisure Facilities Management, Other - Personality Psychology - Physical and Biological Anthropology - Physiological Psychology/Psychobiology - Political Economy - Political Science and Government, General - Political Science and Government, Other - Project Management - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Psychopharmacology - Public Administration - Public/Applied History - Research and Development Management - Research and Experimental Psychology, Other - Research Methodology and Quantitative Methods - Rural Sociology - School Psychology - Small Business Administration/Management - Social Psychology - Social Sciences, General - Social Sciences, Other - Sociology and Anthropology - Sociology - Telecommunications Management - Terrorism and Counterterrorism Operations - Theatre/Theatre Arts Management - Tourism and Travel Services Management - Urban Studies/Affairs -"
